車両ID,販売会社コード,車両名称,車種区分,登録完了日,新中区分コード
V00001,S001,プリウス Z,セダン,2024/04/07,1
V00002,S001,ランドクルーザー 300,SUV,2024/04/11,1
V00003,S001,ヤリス G,コンパクト,2024/04/19,1
V00004,S001,クラウン クロスオーバー,セダン,2024/04/18,1
V00005,S002,シエンタ G,ミニバン,2024/04/04,1
V00006,S002,カローラ WXB,セダン,2024/04/08,1
V00007,S002,RAV4 Adventure,SUV,2024/04/16,1
V00008,S002,ノア S-Z,ミニバン,2024/04/20,1
V00009,S002,アクア Z,コンパクト,2024/04/23,1
V00010,S003,アルファード 2.5S,ミニバン,2024/04/05,1
V00011,S003,プリウス Z,セダン,2024/04/13,1
V00012,S003,ランドクルーザー 300,SUV,2024/04/17,1
V00013,S003,ヤリス G,コンパクト,2024/04/20,1
V00014,S003,クラウン クロスオーバー,セダン,2024/04/24,1
V00015,S004,シエンタ G,ミニバン,2024/04/10,1
V00016,S004,カローラ WXB,セダン,2024/04/14,1
V00017,S004,RAV4 Adventure,SUV,2024/04/22,1
V00018,S004,ノア S-Z,ミニバン,2024/04/21,1
V00019,S004,アクア Z,コンパクト,2024/04/05,1
V00020,S004,ヴォクシー S-Z,ミニバン,2024/04/09,1
V00021,S005,プリウス Z,セダン,2024/04/07,1
V00022,S005,ランドクルーザー 300,SUV,2024/04/11,1
V00023,S005,ヤリス G,コンパクト,2024/04/19,1
V00024,S005,クラウン クロスオーバー,セダン,2024/04/23,1
V00025,S005,ハリアー Z,SUV,2024/04/26,1
V00026,S005,シエンタ G,ミニバン,2024/04/06,1
V00027,S005,カローラ WXB,セダン,2024/04/14,1
V00028,S006,ノア S-Z,ミニバン,2024/04/08,1
V00029,S006,アクア Z,コンパクト,2024/04/16,1
V00030,S006,ヴォクシー S-Z,ミニバン,2024/04/20,1
V00031,S006,アルファード 2.5S,ミニバン,2024/04/23,1
V00032,S007,ランドクルーザー 300,SUV,2024/04/13,1
V00033,S007,ヤリス G,コンパクト,2024/04/17,1
V00034,S007,クラウン クロスオーバー,セダン,2024/04/25,1
V00035,S007,ハリアー Z,SUV,2024/04/24,1
V00036,S008,カローラ WXB,セダン,2024/04/10,1
V00037,S008,RAV4 Adventure,SUV,2024/04/14,1
V00038,S008,ノア S-Z,ミニバン,2024/04/22,1
V00039,S008,アクア Z,コンパクト,2024/04/26,1
V00040,S008,ヴォクシー S-Z,ミニバン,2024/04/05,1
V00041,S008,アルファード 2.5S,ミニバン,2024/04/09,1
V00042,S009,ランドクルーザー 300,SUV,2024/04/11,1
V00043,S009,ヤリス G,コンパクト,2024/04/19,1
V00044,S009,クラウン クロスオーバー,セダン,2024/04/23,1
V00045,S009,ハリアー Z,SUV,2024/04/26,1
V00046,S009,シエンタ G,ミニバン,2024/04/06,1
V00047,S009,カローラ WXB,セダン,2024/04/14,1
V00048,S010,ノア S-Z,ミニバン,2024/04/16,1
V00049,S010,アクア Z,コンパクト,2024/04/20,1
V00050,S010,ヴォクシー S-Z,ミニバン,2024/04/28,1
V00051,S010,アルファード 2.5S,ミニバン,2024/04/03,1
V00052,S010,プリウス Z,セダン,2024/04/11,1
V00053,S010,ランドクルーザー 300,SUV,2024/04/15,1
V00054,S017,クラウン クロスオーバー,セダン,2024/04/13,1
V00055,S017,ハリアー Z,SUV,2024/04/17,1
V00056,S017,シエンタ G,ミニバン,2024/04/25,1
V00057,S017,カローラ WXB,セダン,2024/04/29,1
V00058,S001,アクア Z,コンパクト,2024/05/04,1
V00059,S001,ヴォクシー S-Z,ミニバン,2024/05/08,1
V00060,S001,アルファード 2.5S,ミニバン,2024/05/16,1
V00061,S001,プリウス Z,セダン,2024/05/20,1
V00062,S001,ランドクルーザー 300,SUV,2024/05/23,1
V00063,S002,クラウン クロスオーバー,セダン,2024/05/05,1
V00064,S002,ハリアー Z,SUV,2024/05/13,1
V00065,S002,シエンタ G,ミニバン,2024/05/17,1
V00066,S002,カローラ WXB,セダン,2024/05/20,1
V00067,S002,RAV4 Adventure,SUV,2024/05/24,1
V00068,S003,アクア Z,コンパクト,2024/05/10,1
V00069,S003,ヴォクシー S-Z,ミニバン,2024/05/14,1
V00070,S003,アルファード 2.5S,ミニバン,2024/05/22,1
V00071,S003,プリウス Z,セダン,2024/05/21,1
V00072,S003,ランドクルーザー 300,SUV,2024/05/05,1
V00073,S003,ヤリス G,コンパクト,2024/05/09,1
V00074,S004,ハリアー Z,SUV,2024/05/07,1
V00075,S004,シエンタ G,ミニバン,2024/05/11,1
V00076,S004,カローラ WXB,セダン,2024/05/19,1
V00077,S004,RAV4 Adventure,SUV,2024/05/23,1
V00078,S004,ノア S-Z,ミニバン,2024/05/26,1
V00079,S004,アクア Z,コンパクト,2024/05/06,1
V00080,S004,ヴォクシー S-Z,ミニバン,2024/05/14,1
